"period";"Date";"completeCode.x";"completeCode.y";"Position.x";"Position.y";"Weight.x";"Weight.y";"multiple.x";"multiple.y";"rounded.x";"rounded.y";"netPosition.x";"netPosition.y"
560;"2016-07-05";"CME/ADU2016";"CME/ADZ2016";0,0629;0,0629;0,2222;0,2222;0,2744;0,2744;0;0;0;0
561;"2016-08-02";"CME/ADU2016";"CME/ADZ2016";0,3316;0,3245;0,2222;0,2222;1,4472;1,4159;1;1;0,0509;0,0509
562;"2016-09-01";"CME/ADZ2016";"CME/ADZ2016";0,3203;0,3152;0,2222;0,2222;1,3979;1,3754;1;1;0,0509;0,0509
563;"2016-10-03";"CME/ADZ2016";"CME/ADZ2016";0,1501;0,3168;0,2222;0,2222;0,6552;1,3826;1;1;0,0509;0,0509
567;"2017-02-01";"CME/ADH2017";"CME/ADH2017";0,0985;0,043;0,2222;0,2222;0,43;0,1876;0;0;0;0
115;"1979-06-01";"CME/BPU1979";"CME/BPH1980";0,3893;0;0,5;0,5;3,7277;0;4;0;0,2089;0
116;"1979-07-02";"CME/BPU1979";"CME/BPH1980";0,593;0;0,5;0,5;5,6785;0;6;0;0,3133;0
117;"1979-08-01";"CME/BPU1979";"CME/BPH1980";0,5946;0;0,5;0,5;5,6935;0;6;0;0,3133;0
118;"1979-09-04";"CME/BPZ1979";"CME/BPH1980";0,5706;0,146;0,5;0,5;5,4642;1,3976;5;1;0,2611;0,0522
119;"1979-10-01";"CME/BPZ1979";"CME/BPH1980";0,2736;0,0626;0,5;0,5;2,6198;0,5997;3;0;0,1566;0
120;"1979-11-01";"CME/BPZ1979";"CME/BPH1980";-0,0702;0,001;0,5;0,5;-0,6722;0,0098;-1;0;-0,0522;0
121;"1979-12-03";"CME/BPH1980";"CME/BPH1980";0,1382;0,0854;0,5;0,5;1,3232;0,8173;1;1;0,0522;0,0522
122;"1980-01-02";"CME/BPH1980";"CME/BPH1980";0,4124;0,0791;0,5;0,5;3,9489;0,757;4;1;0,2089;0,0522
123;"1980-02-01";"CME/BPH1980";"CME/BPH1980";0,4065;0,0731;0,5;0,5;3,8923;0,7005;4;1;0,2089;0,0522
124;"1980-03-03";"CME/BPM1980";"CME/BPM1980";0,5844;0,0844;0,5;0,5;5,5962;0,8083;5;1;0,2611;0,0522
125;"1980-04-01";"CME/BPM1980";"CME/BPM1980";-0,0894;0,0773;0,5;0,5;-0,8561;0,7398;-1;1;-0,0522;0,0522
127;"1980-06-02";"CME/BPU1980";"CME/BPU1980";0,6215;0,7881;0,5;0,5;5,9509;7,5468;6;7;0,3133;0,3655
