"Date";"period";"diversified-rd"
"1";1959-07-01;-124;1
"2";1959-07-02;-124;1
"3";1959-07-06;-124;1
"4";1959-07-07;-124;1
"5";1959-07-08;-124;1
"6";1959-07-09;-124;1
"7";1959-07-10;-124;1
"8";1959-07-13;-124;1
"9";1959-07-14;-124;1
"10";1959-07-15;-124;1
"11";1959-07-16;-124;1
"12";1959-07-17;-124;1
"13";1959-07-20;-124;1
"14";1959-07-21;-124;1
"15";1959-07-22;-124;1
"16";1959-07-23;-124;1
"17";1959-07-24;-124;1
"18";1959-07-27;-124;1
"19";1959-07-28;-124;1
"20";1959-07-29;-124;1
"21";1959-07-30;-124;1
"22";1959-07-31;-124;1
"23";1959-08-03;-123;1
"24";1959-08-04;-123;1
"25";1959-08-05;-123;1
"26";1959-08-06;-123;1
"27";1959-08-07;-123;1
"28";1959-08-10;-123;1
"29";1959-08-11;-123;1
"30";1959-08-12;-123;1
"31";1959-08-13;-123;1
"32";1959-08-14;-123;1
"33";1959-08-17;-123;1
"34";1959-08-18;-123;1
"35";1959-08-19;-123;1
"36";1959-08-20;-123;1
"37";1959-08-21;-123;1
"38";1959-08-24;-123;1
"39";1959-08-25;-123;1
"40";1959-08-26;-123;1
"41";1959-08-27;-123;1
"42";1959-08-28;-123;1
"43";1959-08-31;-123;1
"44";1959-09-01;-122;1
"45";1959-09-02;-122;1
"46";1959-09-03;-122;1
"47";1959-09-04;-122;1
"48";1959-09-08;-122;1
"49";1959-09-09;-122;1
"50";1959-09-10;-122;1
"51";1959-09-11;-122;1
"52";1959-09-14;-122;1
"53";1959-09-15;-122;1
"54";1959-09-16;-122;1
"55";1959-09-17;-122;1
"56";1959-09-18;-122;1
"57";1959-09-21;-122;1
"58";1959-09-22;-122;1
"59";1959-09-23;-122;1
"60";1959-09-24;-122;1
"61";1959-09-25;-122;1
"62";1959-09-28;-122;1
"63";1959-09-29;-122;1
"64";1959-09-30;-122;1
"65";1959-10-01;-121;1
"66";1959-10-02;-121;1
"67";1959-10-05;-121;1
"68";1959-10-06;-121;1
"69";1959-10-07;-121;1
"70";1959-10-08;-121;1
"71";1959-10-09;-121;1
"72";1959-10-13;-121;1
"73";1959-10-14;-121;1
"74";1959-10-15;-121;1
"75";1959-10-16;-121;1
"76";1959-10-19;-121;1
"77";1959-10-20;-121;1
"78";1959-10-21;-121;1
"79";1959-10-22;-121;1
"80";1959-10-23;-121;1
"81";1959-10-26;-121;1
"82";1959-10-27;-121;1
"83";1959-10-28;-121;1
"84";1959-10-29;-121;1
"85";1959-10-30;-121;1
"86";1959-11-02;-120;1
"87";1959-11-04;-120;1
"88";1959-11-05;-120;1
"89";1959-11-06;-120;1
"90";1959-11-10;-120;1
"91";1959-11-11;-120;1
"92";1959-11-12;-120;1
"93";1959-11-13;-120;1
"94";1959-11-16;-120;1
"95";1959-11-17;-120;1
"96";1959-11-18;-120;1
"97";1959-11-19;-120;1
"98";1959-11-20;-120;1
"99";1959-11-23;-120;1
"100";1959-11-24;-120;1
"101";1959-11-25;-120;1
"102";1959-11-27;-120;1
"103";1959-11-30;-120;1
"104";1959-12-01;-119;1
"105";1959-12-02;-119;1
"106";1959-12-03;-119;1
"107";1959-12-04;-119;1
"108";1959-12-07;-119;1
"109";1959-12-08;-119;1
"110";1959-12-09;-119;1
"111";1959-12-10;-119;1
"112";1959-12-11;-119;1
"113";1959-12-14;-119;1
"114";1959-12-15;-119;1
"115";1959-12-16;-119;1
"116";1959-12-17;-119;1
"117";1959-12-18;-119;1
"118";1959-12-21;-119;1
"119";1959-12-22;-119;1
"120";1959-12-23;-119;1
"121";1959-12-24;-119;1
"122";1959-12-28;-119;1
"123";1959-12-29;-119;1
"124";1959-12-30;-119;1
"125";1959-12-31;-119;1
"126";1960-01-04;-118;1
"127";1960-01-05;-118;1
"128";1960-01-06;-118;1
"129";1960-01-07;-118;1
"130";1960-01-08;-118;1
"131";1960-01-11;-118;1
"132";1960-01-12;-118;1
"133";1960-01-13;-118;1
"134";1960-01-14;-118;1
"135";1960-01-15;-118;1
"136";1960-01-18;-118;1
"137";1960-01-19;-118;1
"138";1960-01-20;-118;1
"139";1960-01-21;-118;1
"140";1960-01-22;-118;1
"141";1960-01-25;-118;1
"142";1960-01-26;-118;1
"143";1960-01-27;-118;1
"144";1960-01-28;-118;1
"145";1960-01-29;-118;1
"146";1960-02-01;-117;1
"147";1960-02-02;-117;1
"148";1960-02-03;-117;1
"149";1960-02-04;-117;1
"150";1960-02-05;-117;1
"151";1960-02-08;-117;1
"152";1960-02-09;-117;1
"153";1960-02-10;-117;1
"154";1960-02-11;-117;1
"155";1960-02-12;-117;1
"156";1960-02-15;-117;1
"157";1960-02-16;-117;1
"158";1960-02-17;-117;1
